compound,agl_thermal_conductivity_300K,natoms,agl_bulk_modulus_static_300K,ael_poisson_ratio,agl_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_thermal_expansion_300K,density,Egap,Bravais_lattice_lattice_type,ael_speed_sound_average
Ag4O2,0.0174529,6,50.0423,0.487902,56.0669,2.48656,19.566,0.00011511,6.62411,0.0868,CUB,498.802
Cu4O2,0.253177,6,97.0286,0.466027,155.957,2.25972,18.7031,7.51445e-05,6.01944,0.6558,CUB,1237.21
O4Pt2,0.262206,6,134.219,0.470661,136.007,2.31201,18.4381,4.9099e-05,8.4695,0.0,CUB,1089.3
O2Pd4,0.287144,6,117.208,0.462663,144.925,2.44995,18.5642,5.72472e-05,8.1206,0.0,CUB,1187.39
Cl16Hg12O4,0.294549,32,39.5693,0.336375,181.028,2.37251,101.107,9.61616e-05,5.77917,1.4766,CUB,994.214
Bi4Cs12O12,0.296848,28,32.2056,0.340246,164.057,2.16724,88.2131,9.68539e-05,5.17338,3.0558,CUB,1143.55
Cs12O12Sb4,0.343002,28,35.5356,0.341438,182.911,2.20131,87.6459,9.0735e-05,4.59582,3.0799,CUB,1257.23
Ag5O6Pb2,0.452188,13,82.1727,0.404837,193.109,2.40299,40.4582,7.77866e-05,8.32514,0.0,HEX,1469.84
O24Tl16,0.474624,40,105.162,0.364602,244.123,2.42234,121.641,6.18992e-05,9.72744,0.0,BCC,1985.77
Cs6Ni2O4,0.488223,12,27.3577,0.32228,171.929,2.23058,38.5288,0.00012407,4.68948,1.3118,TET,1563.44
Cd4O8Rb8,0.492799,20,40.105,0.334848,215.957,2.21737,62.911,0.000107384,4.70755,1.3563,ORC,1864.6
Bi16O24,0.526131,40,110.209,0.391946,223.069,2.09739,120.166,4.45515e-05,8.74592,1.8636,BCC,1875.06
Ag4O4Rb4,0.545209,12,30.841,0.314963,197.895,2.35511,38.6945,0.000130678,4.47728,1.4461,BCT,1646.41
Bi4O12Rb12,0.572559,28,36.8712,0.28736,224.034,2.15065,87.0688,9.63154e-05,4.72483,3.1139,CUB,1409.36
Au4O4Rb4,0.672033,12,40.5837,0.309732,191.987,2.405,38.0423,0.000102381,6.51611,1.683,BCT,1431.19
Ag4K4O4,0.691056,12,33.8962,0.309263,233.823,2.33473,38.3059,0.000128648,3.86428,1.504,BCT,1952.02
Au1O1Rb3,0.700436,5,13.1368,0.241498,143.902,2.12885,16.9922,0.000212999,4.38386,0.2744,CUB,1609.28
O4Pd8Zr16,0.700895,28,143.953,0.419592,229.044,2.03733,83.3143,3.2795e-05,7.95705,0.0,FCC,1929.65
O1Rb2,0.70091,3,19.6474,0.345643,154.993,2.1903,10.0735,0.00019038,3.81374,1.3159,FCC,1569.5
Cu8O6,0.710014,14,116.163,0.419224,272.995,2.21611,42.1279,6.38159e-05,5.85747,0.0653,BCT,2062.37
Ba1O3Pb1,0.724576,5,52.1884,0.386831,185.98,2.52383,16.0339,0.000108476,6.39138,0.0,CUB,1691.23
Bi4O6,0.741669,10,100.226,0.41891,184.006,2.09853,30.4162,5.02643e-05,8.83343,0.0,CUB,1650.26
Ag6As2O8,0.747144,16,90.4714,0.385651,259.075,2.28457,48.5721,6.87404e-05,6.27993,0.4311,CUB,1760.03
Br1O1Rb3,0.773636,5,13.8761,0.245313,167.83,2.19783,16.9955,0.000212914,3.37381,0.4057,CUB,1894.5
Ca8Cl12O2,0.931659,22,43.4557,0.319894,310.904,2.04314,66.0651,8.46995e-05,2.58258,5.2274,HEX,2712.22
Au1K3O1,0.987767,5,15.8197,0.23931,183.242,2.1008,16.7494,0.000202359,3.64094,0.6417,CUB,1966.15
Cl4O2Pd4,1.01977,10,69.7168,0.369521,253.135,2.36726,30.4213,6.69753e-05,4.69839,1.4743,BCT,1805.56
Ag6O8P2,1.07225,16,102.523,0.378862,294.134,2.17823,47.6992,6.06936e-05,6.08172,0.8715,CUB,1939.43
Cl4Cs4O16,1.12733,24,53.1016,0.297443,348.189,2.20665,71.0828,7.65958e-05,2.93744,5.3337,CUB,1433.77
O8Pd6Tl2,1.12873,16,128.174,0.372854,286.022,2.39948,47.7456,5.28595e-05,8.39729,1.8477,FCC,2326.72
I1K3O1,1.1755,5,15.8981,0.224335,214.127,2.16846,16.6964,0.000200555,2.79143,1.0374,CUB,2362.76
Cs2Fe2O4,1.23136,8,67.1859,0.390363,235.027,2.01325,24.1707,5.99933e-05,4.41627,1.7527,FCC,2364.32
O6Rb4Tb2,1.27197,12,49.1524,0.335463,238.924,1.92586,36.4933,7.45118e-05,4.70609,0.0,ORCC,1726.99
Br1K3O1,1.29405,5,16.6486,0.231255,235.057,2.13584,16.5417,0.000196902,2.39653,0.8846,CUB,2510.72
In2Na10O8,1.32893,20,55.2628,0.30128,381.001,2.05512,58.9254,9.40377e-05,3.10435,1.8407,ORC,3000.28
Hg1O2Rb2,1.33742,5,33.8622,0.284848,207.833,2.33455,15.9102,0.00011613,5.14954,2.0066,BCT,1644.52
Cu2O2,1.43012,4,136.881,0.434587,272.008,2.22573,12.0105,6.00002e-05,5.96773,0.0,MCLC,2015.09
Cs2Cu2O4,1.45598,8,51.9207,0.329219,261.993,2.23128,24.4256,7.96349e-05,4.22102,1.2828,ORCC,1850.41
O2Rb2,1.46816,4,29.6067,0.306299,225.945,2.13608,12.711,0.000132345,3.61348,1.7635,ORCI,1927.53
La16O24,1.46822,40,109.882,0.329039,343.069,2.03655,115.323,3.82036e-05,5.64167,3.5256,BCC,3021.61
Ag2In2O4,1.49327,8,103.268,0.380112,270.026,2.27581,24.0486,5.93458e-05,6.88202,0.6242,HEX,2155.67
Ag4Mo2O8,1.5752,14,121.46,0.380903,314.974,2.1339,41.0399,4.65736e-05,5.88821,2.7337,FCC,1837.63
Ca2O8Tl4,1.58178,14,108.913,0.33022,307.898,2.36614,41.7387,6.17286e-05,8.43032,0.046,ORCC,2444.14
C2K8O8,1.59611,18,64.9244,0.320248,415.74,2.07922,51.7553,7.80993e-05,2.68394,3.0066,TET,2512.33
Cu6O8Pb1,1.60526,15,111.957,0.354609,353.842,2.27498,43.8627,5.91899e-05,5.78034,0.1957,FCC,2847.34
K4O6Pb4,1.62271,14,45.6461,0.243622,264.081,2.07889,42.6387,8.29156e-05,5.608,1.6911,BCC,1673.04
In16O24,1.63955,40,144.68,0.319054,412.971,2.20043,112.734,4.36777e-05,6.8671,1.1117,BCC,3242.69
O12Sr4Tb4,1.6612,20,95.5051,0.339322,314.079,1.95976,58.6207,5.05921e-05,6.05535,0.0,ORC,2636.29
Cd2O2,1.66417,4,87.9671,0.399725,229.956,2.18795,12.1468,6.11897e-05,6.28799,0.0,HEX,1942.64
N8Ni4O24,1.67057,36,132.098,0.357672,557.813,2.11036,94.3997,4.78591e-05,2.8443,3.2388,CUB,2449.15
Au2O4Rb2,1.67784,8,59.6218,0.305435,257.057,2.36253,24.4057,7.24858e-05,5.67883,1.7621,ORCC,1620.88
Au2In2O4,1.704,8,116.286,0.365967,260.889,2.34264,24.0558,5.4812e-05,9.39442,0.1328,HEX,2103.89
O12Pb4Sr4,1.72959,20,100.275,0.295356,340.156,2.28552,58.7919,5.95871e-05,7.41335,0.7905,ORC,2842.9
O28P8Th4,1.73068,40,125.712,0.368308,405.963,1.92163,111.756,3.01123e-05,3.45724,5.3833,CUB,3187.9
O24Se8Sn4,1.74422,36,101.58,0.291291,449.005,2.23936,100.346,5.03959e-05,4.13452,2.0808,CUB,2405.74
K2O1,1.76563,3,23.9131,0.301853,260.787,2.09138,9.64542,0.000166916,2.29606,1.7128,FCC,2560.04
Ca1Mn7O12,1.77403,20,164.03,0.315606,565.957,2.99274,53.6838,6.32935e-05,4.84192,0.0,BCC,4135.77
Au2O4Y2,1.79906,8,109.392,0.379842,253.07,2.14774,23.9149,4.74034e-05,7.73964,2.8141,HEX,2113.43
Na2O8Pd6,1.81151,16,146.72,0.35398,378.882,2.3303,46.1321,5.24645e-05,7.09096,0.0,CUB,2918.17
Mn4O14Tl4,1.85878,22,144.668,0.29611,426.959,2.59867,62.8448,6.03319e-05,8.15424,0.0,FCC,3291.02
O8Pt6,1.8683,14,201.353,0.375487,308.031,2.39896,41.0076,3.73505e-05,11.9767,0.0,CUB,2395.9
O14Pt4Sb4,1.88474,22,160.953,0.340411,364.067,2.24919,63.3976,4.53249e-05,9.23088,0.0,FCC,3205.43
Fe2In2O6,1.88724,10,147.139,0.316767,494.532,3.60862,28.8237,7.96477e-05,5.93802,0.9602,HEX,3706.26
Ca2O8Pd6,1.90335,16,149.455,0.354964,377.853,2.32809,46.0508,4.94437e-05,7.06505,0.0,CUB,2931.33
Na6O5Pb1,1.94195,12,59.1269,0.267019,386.973,2.21677,35.7219,0.000105656,4.13182,1.1163,BCT,3119.8
Ce4O28P8,1.94692,40,132.573,0.356414,486.916,2.0497,107.863,3.2178e-05,2.93938,2.2386,CUB,3689.52
O2Pb1,1.96155,3,125.152,0.404296,231.107,2.36992,9.13418,6.02862e-05,10.0444,0.0,FCC,1806.81
O12Se4Sr4,1.96625,20,93.7696,0.324718,383.897,2.06869,57.3543,5.36779e-05,4.42482,3.8366,ORC,2272.56
