Oxides,Lattice_type,Bulk_Modulus,Density,Heat_capacity,Debye_Temperature,Gruneisen_parameters,Egap,Poisson_ratio,Thermal_expansion,Unitcell_atoms,Speed_of_sound,Thermal_Conductivity
Al2Cu2O4,4,165.81,4.98403,20.455,590.863,2.0182,2.015,0.303962,4.13E-05,8,4275.13,8.57476
K1O3U1,2,127.492,6.44557,14.0034,408.067,1.94634,3.0113,0.287516,3.50E-05,5,3508.15,10.4189
Na6O5Pb1,1,59.1269,4.13182,35.7219,386.973,2.21677,1.1163,0.267019,0.000105656,12,3119.8,1.94195
C2Ca2O6,7,128.546,2.58861,25.3634,601.064,1.93522,4.6261,0.33844,4.04E-05,10,3152.93,5.9987
O1Pb1Sr3,2,38.4608,5.68641,15.259,254.024,2.10503,0,0.182157,8.08E-05,5,2637.54,3.77771
O4S1Zn1,3,97.8347,2.3215,17.283,350.902,2.00424,4.8011,0.414084,4.21E-05,6,2599.82,2.38717
Ca4O12Zr4,6,159.859,4.47117,49.7754,624.899,2.02325,3.8224,0.261995,3.22E-05,20,4774.75,6.98271
Cr1La1O3,2,171.651,6.48151,12.8655,573.939,2.06128,1.7885,0.246035,3.44E-05,5,4515.79,16.9784
Cl2O2Y2,9,100.303,4.49239,17.0344,392.067,2.00395,5.0652,0.318329,4.49E-05,6,2876.92,5.58495
Cu8O6,1,116.163,5.85747,42.1279,272.995,2.21611,0.0653,0.419224,6.38E-05,14,2062.37,0.710014
Fe1O1,3,171.444,5.91316,5.54863,450.864,2.13521,0,0.366897,4.67E-05,2,3279.66,9.91425
Ca4O12Tc4,6,169.313,5.09335,51.3535,584.842,2.25517,0.7858,0.285356,3.82E-05,20,4438.65,4.57881
Al2K2O4,3,87.1839,2.48498,21.5991,500.164,1.89642,2.9344,0.317047,4.87E-05,8,4306.82,5.56473
Cl16Hg12O4,2,39.5693,5.77917,101.107,181.028,2.37251,1.4766,0.336375,9.62E-05,32,994.214,0.294549
Hf4O14Y4,3,182.207,7.36826,58.1318,521.062,1.98906,3.3362,0.262609,2.98E-05,22,3942.02,6.43897
Bi2O8V2,1,142.569,6.02418,33.9657,386,1.99515,2.7616,0.347627,3.64E-05,12,2733.38,3.72026
C1Na4O4,1,69.5098,2.09391,25.4854,439.919,1.98965,2.4562,0.358581,7.42E-05,9,2894.45,2.32809
Na2O6Ta2,9,187.882,6.73116,24.1456,669.096,2.06688,2.5252,0.18157,2.91E-05,10,4406.53,17.8237
