Nitrides,Lattice_type,Bulk_Modulus,Density,Heat_capacity,Debye_Temperature,Gruneisen_parameters,Egap,Poisson_ratio,Thermal_expansion,Unitcell_atoms,Speed_of_sound,Thermal_Conductivity
Ag8Ca19N7,3,43.9726,3.62104,102.122,291.055,1.95197,0,0.282696,7.83E-05,34,2629.17,0.909428
Ag1Mn3N1,2,67.5314,6.13433,14.475,274.028,0.840364,0,0.284969,2.60E-05,5,2393.13,16.2358
Ag1N1,3,119.885,8.22397,6.07151,277.942,2.47627,0,0.388063,7.02E-05,2,2149.79,3.04944
Al10C6N2,4,160.714,3.0229,37.1622,871.043,1.85714,1.433,0.223961,2.86E-05,18,6703.57,13.2743
Al10C6N2,4,157.263,2.96861,37.1585,871.193,1.8553,0.821,0.220014,2.87E-05,18,6737.23,13.3806
Al1Dy3N1,2,87.5789,8.07317,14.4577,333.916,1.91861,0,0.204964,4.00E-05,5,3148.8,10.451
Al1Er3N1,2,91.1213,8.58525,14.4346,337.971,1.91239,0,0.19928,3.97E-05,5,3154.13,11.0693
Al6Hf10N2,4,132.339,10.2122,52.147,305.021,1.74696,0,0.30821,2.95E-05,18,2587.61,4.03278
Al1Ho3N1,2,89.3617,8.3358,14.4369,338.081,1.92101,0,0.198964,3.99E-05,5,3163.6,10.8835
Al1La3N1,2,64.5281,5.55326,14.6436,297.943,1.86105,0,0.238973,4.24E-05,5,3034.11,7.41522
Al1Lu3N1,2,93.3741,9.54034,14.5044,320.066,1.82455,0,0.21552,3.95E-05,5,3335.04,10.6232
Al8N4Nb12,2,190.991,6.48923,61.8196,559.908,1.96307,0,0.25379,2.45E-05,24,4620.25,7.91366
Al2N6Ta8,4,256.338,12.9267,44.3611,416.023,2.02682,0,0.312529,2.36E-05,16,3109.28,6.4634
Al1N1Tb3,2,85.6266,7.75077,14.4407,337.073,1.90995,0,0.202004,4.00E-05,5,3178.98,10.6901
Al2N6V8,4,233.676,5.31569,36.8694,730.915,1.99723,0,0.270199,2.52E-05,16,4903.38,11.762
Al2N2Zr6,7,142.558,5.90148,26.5157,507.01,1.79394,0,0.227781,2.59E-05,10,4270.18,14.8153
Al2N2Zr4,4,152.25,5.5837,20.9747,533.032,1.96572,0,0.241922,2.79E-05,8,4367.96,14.2322
Al1N1,3,240.452,4.04541,3.26969,1122.12,1.89692,4.434,0.170354,2.06E-05,2,7965.83,106.722
Al2N2,4,186.991,3.20386,8.06289,898.03,1.85274,4.0583,0.240944,2.55E-05,4,6767.02,39.0432
Al1N1,3,186.317,3.19475,4.05688,890.175,1.8566,3.3062,0.243917,2.57E-05,2,6682.68,60.2181
Al2N2,4,199.477,3.41734,8.08219,894.827,1.85999,3.2558,0.251238,2.57E-05,4,6530.92,37.4828
Al2N2,4,199.366,3.42292,8.08099,895.006,1.85904,3.2727,0.251177,2.57E-05,4,6540.22,37.5222
As4Ca12N4,9,57.4998,3.19838,56.2214,431.885,1.93167,0.8564,0.199897,5.92E-05,20,4112.78,3.50373
As1Ca3N1,2,57.5069,3.2003,13.8743,459.154,1.93384,0.716,0.167348,5.85E-05,5,4409.3,10.5807
Au2Ca4N2,7,60.9552,5.98547,23.9688,282.944,2.02877,0,0.277371,6.77E-05,8,2458.04,2.76581
Au1Ca3N1,2,49.4248,4.81865,14.9785,289.113,1.97702,0,0.253687,7.19E-05,5,2771.49,4.04562
B2C4N2,9,354.379,3.42107,5.66094,1886.63,1.80077,2.1069,0.0923497,8.08E-06,8,12130.9,119.645
B1C2N1,6,353.948,3.41678,2.86891,1875.33,1.7974,1.6679,0.0962315,8.18E-06,4,12025.9,187.621
B2Li6N4,9,100.068,1.72917,23.205,953.707,1.74339,3.4827,0.220856,4.69E-05,12,5804.01,12.0855
